location,ds,yhat,yhat_lower,yhat_upper
India,2020-06-05,7385.3974952459685,-27934.33145475666,47406.40973090089
India,2020-06-06,6688.618382687854,-31754.048891959894,47694.854267640534
India,2020-06-07,6184.583663094228,-32617.507349357293,44967.61883833461
India,2020-06-08,5678.099903292484,-33675.84469801964,44821.19996868412
India,2020-06-09,5341.486520561734,-33372.92420020496,45805.44265017665
India,2020-06-10,5089.9783737132175,-36399.15329331606,42434.766587291895
India,2020-06-11,4918.646616177226,-37087.991524502584,45413.28543481297
India,2020-06-12,4875.147878569347,-32540.24326246808,45061.133875449574
India,2020-06-13,4922.751400175311,-33316.8076432956,47417.90957842473
India,2020-06-14,5130.637639401668,-35224.15073152537,48518.47912810117
India,2020-06-15,5742.9614581509995,-33178.98074409931,47357.20039510748
India,2020-06-16,6470.972102795734,-33380.52665636811,43789.49721618342
India,2020-06-17,7221.475645682314,-31232.354558518222,47196.8501224577
India,2020-06-18,7982.948102235457,-31670.665370437913,47099.76568134514
India,2020-06-19,8798.384843610922,-30873.382500169933,48306.61472429933
India,2020-06-20,9628.378224137607,-29995.938669996598,51930.98477397556
India,2020-06-21,10541.416338979558,-30431.127204440723,49420.67456723854
India,2020-06-22,11331.940972456861,-28900.016310422452,50738.96099763595
India,2020-06-23,12165.237769699717,-26181.626156015725,52517.25091546701
India,2020-06-24,12952.890000808366,-24915.445298681294,53620.26371851823
India,2020-06-25,13689.666105443792,-26881.86768286027,52194.37642438355
India,2020-06-26,14426.153275190225,-23220.071072103576,53463.90148508687
India,2020-06-27,15131.591020646985,-25004.30418768656,54747.552762949075
India,2020-06-28,15883.904581947114,-24834.868156234046,55376.70858334006
India,2020-06-29,16487.48366130569,-22851.61124077042,59176.244529567135
India,2020-06-30,17117.787194415472,-21847.03974610211,58646.453862853356
India,2020-07-01,17696.513266276306,-21235.232470602878,55537.03243940729
India,2020-07-02,18228.211934188457,-20576.78020218268,59552.99797480671
India,2020-07-03,18772.660422262103,-20562.465221234248,58091.76736694655
India,2020-07-04,19307.46127880364,-22484.921625567138,60163.16591447638
India,2020-07-05,19917.86926121552,-15805.832547374906,62008.70752627264
